 lon     lat      ve     vn    sdve  sdvn   ve_p   vn_p stat source
-112.183 33.431  -3.96   1.96  0.18  0.11   2.15  -0.35 59WE #
-114.759 37.595  -3.62   3.11  0.25  0.18   1.03  -1.21 7OAK #
-117.093 34.116 -16.81  15.71  0.18  0.18   1.01   2.20 7ODM #
-113.573 50.016   2.49   2.19  0.36  0.33  -1.77  -1.38 ABCH #
-112.835 49.706   3.14   1.77  0.31  0.28  -1.76  -1.26 ABLT #
-110.697 50.022   2.61   1.85  0.27  0.35  -1.58  -1.07 ABMH #
-106.494 34.957  -1.27   1.93  0.16  0.14   0.64  -0.09 ABQ5 #
-106.494 34.957  -1.36   1.97  0.17  0.15   0.64  -0.08 ABQ6 #
-120.100 42.761   0.63   7.45  0.18  0.21  -2.60  -2.30 ABRN #
-117.445 33.274 -27.24  27.40  0.22  0.19  -0.29   2.33 ACSB #
-117.445 33.274 -27.10  27.12  0.27  0.25  -0.28   2.56 ACSX #
-120.007 42.196  -1.01   7.49  0.41  0.41  -2.24  -2.15 ADLL #
-111.918 33.689  -3.58   1.98  0.10  0.25   1.71  -0.52 ADOB #
-117.124 32.807 -27.93  27.96  0.29  0.32  -0.67   1.76 AERO #
-116.429 34.594  -8.52   9.31  0.14  0.13   1.90  -1.11 AGMT #
-112.059 34.248  -3.27   2.72  0.22  0.21   1.66  -0.49 AGUA #
-111.064 42.773   0.66   1.78  0.16  0.11  -1.18  -0.85 AHID #
-117.862 33.849 -23.71  25.06  0.58  0.46  -0.75   2.12 AIAH #
-123.487 48.390   6.83   7.58  0.34  0.29  -1.20  -1.40 AL2H #
-115.158 37.358  -4.23   3.46  0.17  0.13   1.18  -1.19 ALAM #
-123.488 48.390   6.78   7.36  0.75  0.71  -1.20  -1.39 ALB4 #
-123.487 48.390   7.27   7.49  0.14  0.11  -1.22  -1.39 ALBH #
-118.695 34.824 -19.10  19.13  0.18  0.17   2.80  -0.27 ALPP #
-111.620 40.584   0.01   2.19  0.18  0.17  -0.44  -0.62 ALUT #
-104.525 38.803  -0.34   1.49  0.13  0.12  -0.11  -0.02 AMC2 #
-104.525 38.803  -0.55   1.52  0.40  0.37  -0.02  -0.01 AMC4 #
-119.363 34.015 -27.83  31.77  0.16  0.21  -1.69   1.96 ANA1 #
-117.135 46.133   3.32   4.14  0.17  0.18  -2.19  -1.88 ANAT #
-117.371 39.848  -4.72   4.74  0.14  0.14   1.42  -2.21 ANTB #
-118.167 40.146  -3.97   5.13  0.13  0.14  -0.73  -1.60 ANTE #
-120.281 39.643  -9.04   9.77  0.43  0.32   0.09  -2.45 ANTV #
-118.830 34.157 -26.23  28.55  0.26  0.21  -1.77   2.59 AOA1 #
-114.932 36.319  -4.42   3.68  0.23  0.18   1.71  -1.20 APEX #
-114.485 32.679  -5.01   4.16  0.40  0.37   2.56  -0.72 AQUA #
